Batch,Model,Route_Code,Route_Name,O_lat,O_lon,D_lat,D_lon,Route_KM,Cycle_Min,Headway,Fleet,Type,Load,Tourist,CMP_Trunk
R1,opus,ANSP01010106,Anantnagh to Shopian,33.74535,75.186081,33.719229,74.833266,43.843,131.5,35,5,Regional_District,1.535,False,False
R1,opus,ANSR01020139,Anantnagh to Srinagar,33.74535,75.186081,34.07457,74.820502,59.305,177.9,50,5,Regional_District,0.112,False,False
R1,opus,BPBR01010201,Bandipora to Baramulla,34.423075,74.63596,34.208735,74.342587,45.97,137.9,35,5,Regional_District,1.962,False,False
R1,opus,BPSR01010209,Bandipora to Soura,34.423075,74.63596,34.137704,74.802102,51.094,153.3,35,6,Regional_District,1.277,False,False
R1,opus,BPSR01020239,Bandipora to Srinagar,34.423075,74.63596,34.07457,74.820502,58.597,175.8,50,5,Regional_District,0.077,False,False
R1,opus,BPSR01020139,Bankoot to Srinagar via Bandipora,34.41793,74.642941,34.07457,74.820502,60.768,182.3,50,5,Regional_District,0.082,False,False
R1,opus,BRKW01030104,Baramula to Kupwra,34.208735,74.342587,34.52614,74.254895,46.645,139.9,35,5,Regional_District,1.026,False,False
R1,opus,BRSR01020139,Baramulla to Srinagar,34.208735,74.342587,34.07457,74.820502,56.316,168.9,50,5,Regional_District,0.073,False,False
R1,opus,SRPW02040501,Batamaloo to Dadsara Tral via Awantipora,34.068715,74.779627,33.930235,75.109996,43.869,131.6,15,11,Regional_District,0.36,False,True
R1,opus,SRGB02020502,Batamaloo to Kangan via Hazratbal Manigam,34.068715,74.779627,34.239881,74.975622,55.703,167.1,15,14,Regional_District,0.404,False,True
R1,opus,SRGB02020503,Batamaloo to Manigam,34.068715,74.779627,34.231314,74.953744,54.466,163.4,15,13,Regional_District,0.414,False,True
R1,opus,BRSR06020139,Botingue to Srinagar,34.371767,74.489273,34.07457,74.820502,61.995,186.0,50,5,Regional_District,0.092,False,False
R2,opus,KGSR02020139,Devsur to Srinagar,33.639414,75.094115,34.07457,74.820502,65.241,195.7,50,5,Regional_District,0.11,False,False
R2,opus,BRSR01020239,Fathgath to Srinagar,34.1981,74.364653,34.07457,74.820502,56.5,169.5,50,5,Regional_District,0.072,False,False
R2,opus,SPSR01020139,Harman to Srinagar,33.717153,74.831268,34.07457,74.820502,48.805,146.4,50,4,Regional_District,0.131,False,False
R2,opus,SPSR01020239,Heff to Srinagar,33.795859,74.973311,34.07457,74.820502,40.635,121.9,50,4,Regional_District,0.095,False,False
R2,opus,SRBG02022003,Jehangir Chowk to Budgam,34.071881,74.804719,34.006185,74.641626,45.581,136.7,50,4,Regional_District,0.098,False,False
R2,opus,BRBR02010101,Kamalkote to Baramulla,34.085545,74.045409,34.208735,74.342587,45.819,137.5,35,5,Regional_District,0.767,False,False
R2,opus,SPSR01020339,Kaprin to Srinagar,33.66973,74.904441,34.07457,74.820502,58.528,175.6,50,5,Regional_District,0.17,False,False
R2,opus,KGSR03020339,Katrosoo to Srinagar,33.686656,74.994781,34.07457,74.820502,69.172,207.5,50,6,Regional_District,0.109,False,False
