Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,SOURA,34.1378333,74.8021097,LD,34.0822,74.8059,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,"34.07189,74.80491",MPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,"34.07189,74.80491",MPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,"34.07189,74.80491",MPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,"34.07189,74.80491",LPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,HAZRATBAL,34.1272157,74.8356734,QAMARWARI,"34.0948927,74.766525",LPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,CHADORA,33.9437273,74.7986725,BATAMALLO,"34.0692325,74.7917031",MPV,Ordinary Service
,LAWAYPORA,34.1173282,74.6986747,JEHANGIR CHOWK,34.07189,74.80491,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,PARIMPORA,34.1112,74.7475,CHADORA,33.9437273,74.7986725,BATAMALLO,"34.0692325,74.7917031",MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LD,34.0822,74.8059,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,GADOORA,34.17517,74.78275,GANDERBAL,"34.192763,74.7700157",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,GANDERBAL,34.192763,74.7700157,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,GANDERBAL,34.192763,74.7700157,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LALCHOWK,34.0712565,74.8104927,LD,"34.0822,74.8059",MPV,Express Service
,JEHANGIR CHOWK,34.07189,74.80491,SOURA,34.1378333,74.8021097,EID GAH,"34.096926,74.7930637",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,LD,34.0822,74.8059,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,LD,34.0822,74.8059,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
